art_id,entity_text,doc_id,similarity,match_type,type_of_relation
C57B66D6_67,Codigo Fiscal de la Ciudad de Mexico,04ABBAED,1.0,name,mencion_ley_oficial
C57B66D6_67,Codigo Fiscal de la Ciudad de Mexico,04ABBAED,1.0,name,mencion_ley_oficial
C57B66D6_100DECIES,Ley Federal de Proteccion de Datos Personales en Posesion de los Particulares,0D82F3D0,1.0,name,mencion_ley_oficial
C57B66D6_100SEXIES,Ley Federal de Proteccion de Datos Personales en Posesion de los Particulares,0D82F3D0,1.0,name,mencion_ley_oficial
C57B66D6_178,Codigo Nacional de Procedimientos Civiles y Familiares,8D851976,1.0,name,mencion_ley_oficial
C57B66D6_178,Codigo Civil para el Distrito Federal,2F07FC1B,1.0,name,mencion_ley_oficial
C57B66D6_179,Ley del Servicio Exterior Mexicano,E8471FA2,1.0,name,mencion_ley_oficial
C57B66D6_186,Ley de Sociedad de Convivencia para la Ciudad de Mexico,9FF3A6AD,1.0,name,mencion_ley_oficial
C57B66D6_234TER,Ley Federal de Proteccion de Datos Personales en Posesion de los Particulares,0D82F3D0,1.0,name,mencion_ley_oficial
C57B66D6_250,Codigo Fiscal de la Ciudad de Mexico,04ABBAED,1.0,name,mencion_ley_oficial
